Wall time,Step,Value
1531316615.352048,1236,1.0889263153076172
1531316617.721683,1238,1.062300682067871
1531316621.2499716,1241,1.1579056978225708
1531316628.3892043,1247,1.18436861038208
1531316630.7712605,1249,1.1086894273757935
1531316633.156701,1251,1.1679373979568481
1531316634.3430386,1252,1.0097129344940186
1531316637.843167,1255,0.9885047078132629
1531316639.023889,1256,1.0549806356430054
1531316640.2003508,1257,1.0947436094284058
1531316643.8193967,1260,1.2426793575286865
1531316653.419635,1268,1.2027539014816284
1531316659.3184302,1273,1.2576782703399658
1531316661.678542,1275,1.0781805515289307
1531316669.0282228,1281,1.0808897018432617
1531316673.8223493,1285,1.1872637271881104
1531316674.9953473,1286,1.113550066947937
1531316676.1793272,1287,1.126668930053711
1531316677.3633707,1288,1.0738826990127563
1531316684.543546,1294,1.1340863704681396
1531316688.1260624,1297,0.9724002480506897
1531316696.6177363,1304,1.1026893854141235
1531316699.0494714,1306,1.0735523700714111
1531316702.6878889,1309,1.025626301765442
1531316703.8937514,1310,1.042580008506775
1531316707.5445383,1313,1.1367480754852295
1531316714.7858257,1319,1.0896161794662476
1531316717.1725569,1321,1.1449953317642212
1531316720.7957232,1324,1.273034691810608
1531316724.3558295,1327,1.2976837158203125
1531316725.5155418,1328,1.1811463832855225
1531316726.7164292,1329,1.1748700141906738
1531316727.9230275,1330,1.1853086948394775
1531316729.122475,1331,1.1422916650772095
1531316736.3693962,1337,1.1222590208053589
1531316750.7629924,1349,1.0271106958389282
1531316758.0457344,1355,1.1348317861557007
1531316764.101184,1360,1.2377458810806274
1531316768.900219,1364,1.2302213907241821
1531316777.4241831,1371,1.1392712593078613
1531316779.8870468,1373,1.1947051286697388
1531316785.9570808,1378,1.0859603881835938
1531316787.1733246,1379,1.167210340499878
1531316790.8549843,1382,1.1480028629302979
1531316792.0731194,1383,1.17030668258667
1531316794.464775,1385,0.9546566605567932
1531316795.6575928,1386,1.061141014099121
1531316799.2800512,1389,1.0778703689575195
1531316843.2816663,1405,0.9098786115646362
1531316844.40944,1406,1.0186233520507812
1531316845.5371072,1407,0.9693654775619507
1531316851.1376998,1412,1.0111114978790283
1531316854.5208044,1415,0.967698335647583
1531316859.043553,1419,0.9138315320014954
1531316860.1710339,1420,0.9131512641906738
1531316861.3002322,1421,0.8559673428535461
1531316865.830496,1425,1.1056039333343506
1531316866.9907625,1426,1.1841099262237549
1531316868.1385407,1427,1.276522159576416
1531316870.421262,1429,1.0379399061203003
1531316875.135604,1433,0.9821518063545227
1531316877.4843786,1435,1.0377469062805176
1531316892.9352024,1448,0.8807523846626282
